name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Private Parking,Airport Shuttle (free),Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Baggage Storage,Laundry,Free WiFi,Air Conditioning,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Designated Smoking Area,Facilities for Disabled Guests,good Spa & Wellness Center,Bar,wonderful Fitness Center,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,excellent Fitness Center,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Hotel Wolcott,10001,"1,349",7.9,8.1,7.7,7.1,7.9,7.5,3.1,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,(1.5 miles from center)
AKA Wall Street,10038,746,9.3,9.4,9.5,9.2,9.5,8.7,9.4,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,(4.3 miles from center)
The Peninsula New York,10019,220,8.7,9,8.8,8.7,8.7,7.4,8.7,9.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,"(3,100 feet from center)"
Club Quarters Hotel Wall Street,10005,"2,466",8.2,8.4,8,7.9,8.5,7.6,9,8.8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
Hotel Indigo Lower East Side,10002,"1,028",8.7,9.1,8.9,8.6,8.6,7.7,8.7,8.9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,(3.1 miles from center)
The Allen Hotel,10002,556,8.6,9,8.4,8.3,8.9,8.2,9.1,8.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,(3.1 miles from center)
"Club Quarters Hotel, Grand Central",10017,"1,180",8.7,8.9,8.6,8.5,8.7,8.1,9,9.4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.1 miles from center)
Courtyard New York Manhattan/Times Square,10018,"1,300",8.4,8.5,8.4,8,8.5,7.6,8.7,9.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(1 miles from center)
The NoMad Hotel,10001,748,9.0,9.4,9.2,9,9.1,8.2,9,9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,(1.6 miles from center)
Great Renovated Apartments Best Location Manhattan,10010,30,8.3,7.6,8.1,7.8,8.5,8.4,7.5,9.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2 miles from center)
Freehand New York,10010,545,8.8,9,8.6,8.6,8.9,8,8.8,9.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,(2 miles from center)
Midtown Lodging,10022,639,8.5,8.3,8.1,8.2,9,8.1,9.3,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.1 miles from center)
Four Points by Sheraton Manhattan Midtown West,10001,957,8.4,9,8.5,8.3,8.5,7.9,8.7,8.3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(1.3 miles from center)
City Club Hotel,10036,"1,213",8.3,8.4,8,7.7,8.7,7.6,8.5,9.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.9 miles from center)
Four Points by Sheraton Midtown - Times Square,10018,"3,306",8.4,8.6,8.2,7.9,8.7,7.8,9,8.9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1 miles from center)
Modern Apartments next to Times Square,10018,56,8.2,8,7.8,7.5,8.3,7.8,10,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.1 miles from center)
"Hotel Shocard, New York",10036,"1,856",8.3,8.6,7.7,7.8,8.9,7.7,9,9.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.9 miles from center)
Carvi Hotel New York,10022,980,8.4,8.7,8.2,7.8,8.8,7.9,8.9,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,(0.9 miles from center)
Cassa Hotel 45th Street New York,10036,"1,562",8.7,9,8.6,8.1,8.9,7.9,8.6,9.6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(0.8 miles from center)
Aliz Hotel Times Square,10018,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1 miles from center)
"The New Yorker, A Wyndham Hotel",0001 ,"7,762",7.8,8,7.6,7.3,8.2,7,8,9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.2 miles from center)
Dream Midtown,10019,"2,011",8.1,8.5,7.8,7.6,8.2,7.2,9.2,695,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"(1,500 feet from center)"
"Park South, a Joie de Vivre Hotel",10016,"1,071",8.6,8.9,8.5,8.4,9.1,7.9,9.1,520,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.8 miles from center)
"The Bernic Hotel New York City,Tapestry Collection by Hilton",10017,"1,792",8.7,9,8.6,8.2,9.1,8,8.1,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.1 miles from center)
Four Seasons Hotel New York Downtown,10007,249,9.4,9.8,9.8,9.6,9.6,8.6,9,9.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,(3.7 miles from center)
Hampton Inn Manhattan Grand Central,10017,"2,843",8.7,8.9,8.4,8.3,9.1,8.2,8.4,9.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.3 miles from center)
New York Hilton Midtown,10019,"4,542",7.9,8.1,7.9,7.6,7.8,7,7,9.1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(2,450 feet from center)"
Distrikt Hotel New York City,10018,755,8.5,8.8,8.5,8.1,8.7,7.9,8.1,8.9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,(1 miles from center)
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,10006,627,8.8,8.9,8.7,8.5,9.1,8.4,8.9,9.2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(4.3 miles from center)
The Mercer,10012,270,8.9,9.4,9,8.7,9.1,7.8,9.1,9.6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(3.1 miles from center)
Heart of Midtown,10022,22,8.7,8.8,8.2,8.5,9.1,8.4,8.8,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
Sofitel New York,10036,"1,357",8.6,8.8,8.7,8.3,8.7,7.5,8,9.3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,(0.9 miles from center)
Times Square HighLine Two Bedroom,10036,15,9.2,8.8,8.8,8.7,10,9.1,9.8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(0.9 miles from center)
Lotte New York Palace,10022,"1,787",8.8,9,9,8.5,8.6,7.9,4.2,9.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,(0.8 miles from center)
Sanctuary NYC Retreats,10002,399,8.8,8.8,8.9,8.7,9,8.6,8.4,8.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
Homewood Suites Midtown Manhattan Times Square South,10018,"1,943",8.9,9,8.9,8.8,9,8.3,8.6,9.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.1 miles from center)
The Roger,10016,"1,562",8.4,8.7,8.4,8,8.6,7.5,8.6,9,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.6 miles from center)
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,10001,"1,084",8.1,8.2,7.7,7.8,8.7,7.5,8.2,8.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.6 miles from center)
Ameritania at Times Square,10019,"2,578",8.2,8.3,8,7.6,8.4,7.7,4.9,9.3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"(1,500 feet from center)"
Four Points by Sheraton Manhattan Chelsea,10001,"1,431",8.1,8.3,7.9,7.7,8.7,7.6,8.4,8.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.7 miles from center)
Walker Hotel Greenwich Village,10011,"1,023",8.4,8.7,8.1,8,8.8,7.4,8.8,9.3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(2.3 miles from center)
John Street Apartment,10038,7,8.4,8.2,8.9,8.6,7.9,7.9,8.9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(3.7 miles from center)
Element Times Square West,10018,"8,114",8.0,7.8,7.9,7.6,8.1,7.5,8.7,8.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
The Roxy Hotel Tribeca,10013,"1,382",8.9,9.1,9,8.9,9,8.2,8.7,9.3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
Hotel Wales,10128,750,8.1,8.4,7.9,7.6,8.4,7.4,8.6,8.8,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.8 miles from center)
Four Points by Sheraton New York Downtown,10038,"3,952",8.1,8.4,8.1,7.8,8.2,7.5,8.4,8.3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
Loews Regency New York Hotel,10065,456,8.8,9.1,9,8.7,8.8,7.9,8.9,9.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(0.7 miles from center)
Grand Hyatt New York,10017,"4,618",7.8,7.8,7.8,7.5,7.8,6.9,8.1,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.2 miles from center)
The Whitby Hotel,10019,196,9.5,9.9,9.7,9.6,9.6,8.6,9.5,9.6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"(2,600 feet from center)"
Holiday Inn Manhattan Financial District,10006,"1,689",8.1,8.4,8.1,7.7,8.3,7.5,8.8,8.8,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
11 Howard,10013,621,8.5,8.8,8.3,8,8.9,7.6,9.3,9.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(3.1 miles from center)
The Frederick Hotel,10007,"1,579",8.3,8.9,8,7.7,8.6,7.8,8,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(3.7 miles from center)
Orchard Street Hotel,10003,"1,156",8.3,8.6,7.7,7.6,9,7.7,8.4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,(3.1 miles from center)
Hotel Hugo,10013,981,8.1,8.5,8.1,8,8.4,7.5,7.4,8.4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,(3.1 miles from center)
"The Pierre, A Taj Hotel, New York",10065,323,9.0,9.3,9.1,8.7,9.3,7.8,8.3,9.6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(3,100 feet from center)"
Hyatt Union Square New York,10003,543,8.7,9,8.7,8.5,9,7.6,8.6,9.2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(2.5 miles from center)
Club Quarters Hotel World Trade Center,10006,"1,496",8.6,8.8,8.5,8.5,8.6,8.1,9,9.1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
DoubleTree Suites by Hilton NYC - Times Square,10036,"1,877",8.2,8.1,8.1,7.9,8.1,7.3,5.9,9.3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,(0.7 miles from center)
Seton Hotel,10016,"1,036",8.3,8.7,7.8,7.7,8.6,7.6,8.9,9.1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.3 miles from center)
AKA Sutton Place,10022,103,9.1,9.2,9.1,9,9.6,8.5,8.3,9.1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center)
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,10006,"1,733",8.6,9.1,8.7,8.3,8.4,8,8.7,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
Courtyard New York Manhattan/Midtown East,10022,690,8.3,8.6,8.4,8,8.2,7.7,8.1,8.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,(1 miles from center)
The Marcel at Gramercy,10010,"1,549",8.2,8.4,7.9,7.7,8.8,7.7,5.2,8.6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,(2 miles from center)
The Kitano Hotel New York,10016,801,8.7,9.1,8.9,8.4,8.8,7.9,5.2,4.2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.3 miles from center)
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,10004,977,8.8,9.1,8.9,8.6,8.7,8.3,8.5,8.9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
Fifty Hotel & Suites by Affinia,10022,"1,302",8.2,8.4,8.3,7.9,8.2,7.5,8,8.9,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
IBEROSTAR 70 Park Avenue Hotel,10016,"2,008",8.3,8.3,8.3,7.7,8.6,7.8,8.9,9.2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.3 miles from center)
Courtyard by Marriott New York Manhattan/Chelsea,10001,961,8.5,8.9,8.5,8.2,8.4,7.8,8.7,9.1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.5 miles from center)
Best Western Bowery Hanbee Hotel,10013,"1,022",8.0,8.2,7.8,7.5,8.6,7.6,8.2,314,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,(3.1 miles from center)
Hotel on Rivington,10002,549,8.4,8.6,8.6,8,8.4,7.8,8.7,8.8,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(3.1 miles from center)
Athenas Domus CS 6E,10011,13,9.5,10,9.6,9.6,9.2,9.1,10,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2 miles from center)
Hampton Inn Manhattan - Times Square South,10018,"1,092",8.2,8.4,8,7.9,8.5,7.6,8.2,8.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(1 miles from center)
Tribeca Lofts,10013,36,8.1,8.4,8.1,7.4,7.9,7.4,7.5,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
Cambria Hotel New York - Chelsea,10001,"1,816",8.8,8.7,8.8,8.5,9.2,8.3,9.2,9.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,(1.6 miles from center)
JW Marriott Essex House New York,10019,551,7.9,8,8,7.5,8,6.5,7.1,9.3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(1,150 feet from center)"
The Roosevelt Hotel,10017,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1 miles from center)
Hampton Inn Manhattan-35th Street/Empire State Building,10001,"1,760",8.6,8.6,8.4,8.1,8.9,8,8.2,9.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.3 miles from center)
Hilton Garden Inn New York Times Square South,10018,853,8.7,9,8.8,8.5,8.7,8.2,8.2,8.9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.1 miles from center)
Sheraton Tribeca New York Hotel,10013,"2,791",7.8,7.8,7.9,7.4,8.1,7.3,8.4,8.3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
Wellington Hotel,10019,"7,288",7.7,7.8,7.5,6.9,7.6,7.2,4.2,9.1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"(1,500 feet from center)"
The London NYC,0019 ,"1,514",8.2,8.4,8.5,7.9,8.1,7.4,8.7,9.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,"(1,800 feet from center)"
East Village Convenient Apartment,10009,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.9 miles from center)
Broadway Plaza Hotel,10001,764,8.5,8.8,8.5,7.9,8.8,8,7.6,9,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.7 miles from center)
Eurostars Wall Street,10005,980,7.9,7.8,7.9,7.5,8.3,7.6,8.4,8.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
Sanctuary Hotel New York,10036,"1,222",8.6,8.9,8.3,8.1,9.2,7.8,8.8,9.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.7 miles from center)
InterContinental New York Barclay Hotel,10017,"2,344",8.8,9.2,9.1,8.7,8.6,8.1,6.6,9.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,(1 miles from center)
Aloft Manhattan Downtown - Financial District,10038,"1,515",8.3,8.7,8.3,8,8.3,7.7,9,8.6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(3.7 miles from center)
EVEN Hotel New York Times Square South,10001,"1,203",9.0,9.4,9.1,9,9.2,8.2,9.1,9.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,(1.2 miles from center)
"The Lexington, Autograph Collection",0017 ,"2,766",8.2,8.4,8.1,8,8.2,7.5,8.4,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
The Mark New York,10075,321,9.0,9.4,9.2,9.1,9.1,7.8,8.9,9.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,(1.1 miles from center)
Studios Midtown Manhattan,10001,325,8.5,8.6,7.8,8.1,9.1,8.1,9.3,9.4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.5 miles from center)
Hilton Times Square,10036,"1,956",8.5,8.7,8.7,8.3,8.3,7.7,5.9,9.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,(0.9 miles from center)
Holiday Inn Express New York City Chelsea,10001,"2,934",8.1,8.3,7.7,7.6,8.4,7.5,8.6,8.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.5 miles from center)
Oakwood at the Nash,10016,428,8.8,8.8,8.9,8.8,8.5,8.6,9.2,9.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.5 miles from center)
Andaz Wall Street-a concept by Hyatt,10005,558,8.7,8.7,8.8,8.6,8.9,8.3,8.9,8.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,(4.3 miles from center)
Room Mate Grace Boutique Hotel,10036,"2,001",8.7,8.8,8.5,8.4,9.1,8,8.7,9.6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
DoubleTree by Hilton NYC - Financial District,10004,"3,976",7.9,8,7.9,7.4,8.1,7.4,8.5,8.4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,(4.3 miles from center)
Big 3 BDR Apt Times Square 9th Ave,10018,27,8.1,7.8,7.9,7.7,8.4,7.5,9.1,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1 miles from center)
East Village Hotel,10003,904,8.0,7.8,7.8,7.6,8.1,7.7,9.1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.8 miles from center)
2 BR half a block from CENTER Times Square 42nd st,10036,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.9 miles from center)
