name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,Free Parking,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Pet Friendly,Outdoor Pool,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Terrace,Swimming Pool,24-Hour Front Desk,Dist
Popular Downtown LA Extravagant Suite,90015.0,13.0,8.7,8.9,8.7,8.9,8.7,8.3,8.8,9.1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2
East West Comfort: Downtown LA Artistic Apartments,90012.0,9.0,8.2,8.9,8.1,7.8,8.9,7.2,7.5,8.1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.7
Popular Hollywood Views Massive Penthouse,90015.0,5.0,8.4,8.1,9.4,8.8,7.0,8.1,9.4,1.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,6.2
Melrose Place,90036.0,30.0,8.6,8.3,8.6,8.3,8.6,8.4,8.8,9.3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,5.6
Popular Hollywood VIP Celebrity Penthouse,90028.0,31.0,8.4,8.2,8.8,8.2,7.7,8.1,9.4,9.2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Downtown LA Convention Center Apartment,90015.0,35.0,8.6,8.7,8.6,8.9,8.3,8.6,8.8,8.8,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.7
Sunset Boulevard Luxury Private Home Escape,90028.0,5.0,9.7,9.5,10.0,10.0,9.5,9.5,9.5,4.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6.2
Abbot Kinney Apartment,90291.0,341.0,8.3,8.5,8.3,8.2,7.9,7.7,8.5,9.2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,13.0
Downtown Los Angeles Deluxe Penthouse,90028.0,16.0,8.5,8.6,8.9,8.9,7.8,8.5,10.0,8.5,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.2
Popular Hollywood Spectacular Double King Suite,90028.0,23.0,8.8,9.0,9.3,8.8,8.2,8.4,8.8,9.1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,6.2
Walk of Fame Hostel,90028.0,3741.0,8.3,8.4,7.7,8.0,8.5,8.1,8.4,9.3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,6.2
The Westin Los Angeles Airport,90045.0,1573.0,8.1,8.4,8.5,8.1,8.3,7.5,6.4,8.2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,10.6
