name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist
Orlando World Center Marriott,32821.0,653.0,8.4,8.6,8.4,8.6,8.5,7.4,7.4,8.7,0,0,0,1,1,0,0,1,1,0,1,1,0,14.3
Hilton Orlando Bonnet Creek,32821.0,430.0,8.8,9.0,9.0,8.9,8.9,7.9,8.2,8.9,0,0,0,1,1,1,0,1,0,0,1,1,0,14.9
Homewood Suites by Hilton Orlando-UCF Area,32826.0,102.0,8.6,9.1,8.8,8.8,8.5,8.2,7.7,8.2,0,1,1,1,0,0,0,1,0,0,0,1,0,10.6
Six Bedrooms with Private Pool (1744),34747.0,15.0,8.4,8.7,9.0,8.2,6.4,8.5,10.0,9.2,0,1,0,0,0,0,0,1,0,0,0,1,0,20.5
staySky Suites I-Drive Orlando,32822.0,1709.0,8.1,7.7,8.0,7.8,8.2,8.1,7.9,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,7.5
Vist Cay Inn,32819.0,123.0,8.4,8.4,8.5,8.6,8.0,8.2,8.4,8.7,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1
Eight Bedrooms with Private Pool and Grill (1760),34747.0,6.0,8.6,7.9,8.8,8.8,7.5,9.2,9.2,3.0,0,1,0,0,0,0,1,1,1,0,0,0,0,20.5
Westgate Lakes Resort and Spa,32819.0,2168.0,8.2,8.2,8.3,8.2,8.2,7.8,7.6,8.6,0,1,0,1,0,0,0,1,0,1,1,1,0,9.3
Alamo Vacation Homes,32837.0,197.0,8.1,8.4,8.5,8.2,7.9,8.3,9.2,7.6,0,1,0,1,0,0,0,1,1,0,0,1,0,11.8
Comfort Inn International Drive,32819.0,517.0,8.1,7.9,8.0,7.7,8.3,7.9,8.3,8.6,0,1,1,0,0,0,0,1,1,0,0,1,0,8.1
Paradise IV,32819.0,5.0,9.0,8.5,9.0,9.0,9.0,8.5,10.0,2.0,0,1,1,1,0,0,0,1,1,0,1,0,0,8.1
Orlando Airport Marriott Lakeside,32822.0,501.0,8.4,8.5,8.5,8.3,8.6,7.5,7.0,8.7,0,0,0,1,1,0,0,1,1,0,1,0,0,6.8
Hilton Orlando Lake Buena Vista - Disney Springs™ Area,32830.0,1037.0,8.2,8.2,8.2,8.1,8.4,7.4,7.6,8.9,0,0,0,1,1,1,0,1,1,0,1,0,0,13.7
3 Bedroom Standard Kissimmee Home,34747.0,5.0,9.2,9.5,9.0,9.0,9.4,9.0,9.5,4.0,0,1,0,0,0,0,1,1,1,0,0,0,0,18.6
Hampton Inn Orlando-Convention Center International Drive Area,32819.0,366.0,8.4,8.4,8.4,8.1,8.8,8.1,8.4,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,8.1
Ramada Plaza Suites Universal Studios,32819.0,522.0,8.0,7.8,8.0,7.8,8.0,7.7,7.8,8.8,0,1,0,0,0,0,0,1,0,0,1,1,0,7.5
Bryan's Spanish Cove By Diamond Resorts,32821.0,76.0,9.1,9.0,9.2,8.8,9.1,9.3,9.3,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,13.7
Avanti International Resort Near The Parks,32819.0,3669.0,8.1,7.8,7.8,7.9,8.3,7.9,8.4,8.8,1,0,0,1,1,0,0,1,0,0,1,1,0,8.1
Westgate Town Center Resort,34747.0,2020.0,8.2,8.2,8.2,8.3,8.1,7.8,7.5,8.5,0,1,0,1,0,0,0,1,1,1,1,0,0,18.6
B Resort and Spa Located in Disney Springs Resort Area,32830.0,1086.0,8.2,8.1,8.3,8.1,8.3,7.5,7.5,8.8,0,0,0,1,1,0,0,1,1,0,1,1,0,13.0
Holiday Inn Resort Orlando Suites - Waterpark,32821.0,2884.0,8.0,7.9,8.2,7.9,8.1,7.6,7.3,8.4,1,0,0,1,1,0,0,1,0,0,1,1,0,14.3
Radisson Hotel Orlando - Lake Buena Vista,32836.0,981.0,8.5,8.6,8.3,8.2,8.5,8.3,8.5,8.8,0,1,1,1,0,0,0,1,0,0,1,1,0,12.4
Comfort Inn Orlando - Lake Buena Vista,32836.0,6360.0,8.0,7.9,8.0,7.5,7.8,8.0,7.7,8.6,0,1,1,0,0,0,0,1,1,0,0,1,0,12.4
Quality Inn & Suites by the Lake,34747.0,2020.0,7.9,7.7,7.9,7.6,8.0,8.1,8.4,8.3,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6
Regal Oaks Resort 5728,34746.0,9.0,8.2,8.3,8.3,8.6,7.2,8.1,8.3,5.0,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2
Buena Vista Suites,32821.0,1749.0,8.2,8.1,8.2,8.0,8.2,8.0,8.1,8.6,0,1,0,1,0,0,0,1,1,0,1,1,0,13.7
Comfort Suites Downtown,32804.0,359.0,8.2,8.3,8.2,8.0,8.7,7.9,8.2,8.3,0,1,0,1,0,0,0,1,1,0,0,1,0,2.7
Quality Inn At International Drive Orlando,32819.0,4317.0,7.8,7.6,7.7,7.4,7.3,7.9,7.3,8.7,0,1,0,0,0,0,0,1,1,0,1,1,0,8.1
Orlando Disney Area - Windsor Hills Resort,34747.0,23.0,8.6,8.1,9.0,8.4,8.6,8.4,9.2,9.3,0,1,1,0,0,0,0,1,0,0,0,1,0,19.3
La Quinta Inn Orlando Near Universal,32819.0,2641.0,7.8,7.6,7.6,7.3,7.9,7.9,7.9,8.6,0,1,0,0,0,0,0,1,1,1,0,1,0,6.8
Lake or Conservation View Vacation Homes,34747.0,601.0,7.8,7.7,8.1,7.9,7.6,7.8,8.5,7.9,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6
Quality Suites Lake Buena Vista near Walt Disney World,32836.0,1727.0,8.3,8.2,8.3,8.0,8.3,8.5,8.3,8.9,0,1,1,0,0,0,0,1,1,0,0,1,0,11.8
Wyndham Garden Lake Buena Vista Disney Springs® Resort Area,32822.0,3690.0,7.8,7.8,7.5,7.5,8.0,7.3,8.2,8.8,1,0,0,1,1,0,0,1,0,0,1,1,0,13.0
Red Lion Hotel Orlando Kissimmee Maingate,34747.0,2550.0,8.1,7.8,8.0,7.7,8.1,8.3,8.0,8.7,0,1,0,1,0,0,0,1,1,1,1,0,0,18.0
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista,32836.0,1105.0,8.7,8.8,8.7,8.5,8.7,8.6,8.8,8.8,1,1,0,1,0,0,0,1,0,0,0,1,0,12.4
Comfort Inn & Suites Convention Center,32819.0,2241.0,8.1,7.9,8.0,7.7,8.1,8.0,7.9,8.6,1,1,0,0,0,0,0,1,1,0,0,1,0,7.5
Sunsol International Drive,32819.0,2643.0,7.9,7.8,7.6,7.4,7.9,7.8,7.4,8.7,0,0,0,1,1,0,0,0,1,0,1,1,1,6.2
Westgate Palace Resort,32819.0,583.0,8.2,8.1,8.2,8.1,8.1,7.8,8.8,8.8,1,1,0,1,0,0,0,0,0,0,1,1,0,6.8
DWS Vacation Villas,34747.0,217.0,7.7,7.5,8.0,7.8,7.1,7.9,8.0,7.7,0,1,0,1,0,0,0,1,1,1,0,0,0,18.6
"Disney-World Orlando Area, U.S.A - Paradise Palms Resort",34747.0,80.0,8.4,8.6,8.7,8.4,8.2,8.2,7.7,8.4,0,1,0,1,0,0,0,1,0,0,1,1,0,18.6
Regal Oaks 2716,34746.0,6.0,8.0,7.9,7.9,7.5,7.9,7.9,8.8,1.0,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2
Ramada by Wyndham Orlando Florida Mall,32809.0,187.0,8.0,8.2,8.3,7.8,8.1,7.8,8.4,8.1,0,1,1,0,0,0,0,1,0,0,0,1,0,6.2
"8 Bedrooms with Private Pool, Spa and Grill (1803)",34747.0,6.0,7.5,7.1,7.9,7.5,7.1,6.7,8.8,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,20.5
Days Inn by Wyndham Orlando Conv. Center/International Dr,32819.0,3128.0,7.4,7.0,7.1,7.0,7.6,7.6,7.5,8.3,0,1,0,1,0,0,0,1,1,0,0,1,0,8.7
Clarion Inn & Suites at International Drive,32819.0,2863.0,7.3,7.0,7.1,6.8,7.3,7.2,7.3,8.1,0,1,0,0,0,0,0,1,1,0,0,0,0,8.7
Parc Corniche Condominium Suites,32821.0,1231.0,8.1,7.6,8.0,7.8,8.3,8.2,8.4,8.6,0,1,0,1,0,0,0,1,1,0,1,1,0,10.6
Holiday Inn & Suites Orlando Universal,32819.0,1130.0,8.1,7.9,8.0,7.7,8.3,7.8,8.3,8.9,0,1,0,1,0,0,0,1,1,1,1,0,0,5.6
Floridian Express International Drive,32819.0,1440.0,7.0,6.1,6.7,6.3,7.2,7.1,6.3,8.5,0,1,0,1,0,0,0,1,1,0,0,1,0,6.8
Midpointe Hotel by Rosen Hotels & Resorts,32819.0,1909.0,7.7,7.5,7.3,7.2,7.8,7.7,7.4,8.5,1,1,0,0,0,0,0,1,0,1,0,1,0,8.7
Courtyard Orlando Lake Buena Vista at Vista Centre,32836.0,963.0,8.4,8.4,8.4,8.2,8.6,8.4,9.0,8.7,0,1,0,1,0,0,0,1,1,0,1,1,0,12.4
Comfort Inn Maingate,34747.0,1339.0,7.9,7.6,7.9,7.6,8.2,7.8,7.6,8.6,0,1,1,1,0,0,0,1,1,0,1,0,0,18.6
Rodeway Inn Maingate,34747.0,6118.0,7.6,7.3,7.3,7.0,7.7,8.1,8.1,8.3,0,1,0,0,0,0,0,1,1,0,0,1,0,16.2
Westgate Blue Tree Resort,32836.0,156.0,8.2,8.1,8.2,8.1,8.4,7.9,6.2,8.7,0,1,0,1,0,0,0,1,1,0,0,0,0,12.4
Baymont by Wyndham Orlando Universal Blvd,32819.0,2211.0,7.6,7.3,7.4,7.2,8.1,7.5,8.1,8.4,0,1,0,1,0,0,0,1,0,1,0,1,0,7.5
Econo Lodge International Drive,32819.0,3804.0,7.2,7.1,6.9,6.6,7.2,7.4,7.6,8.1,0,1,0,0,0,0,0,1,1,0,0,1,0,7.5
Quality Suites Orlando Close to I-Drive,32819.0,3148.0,7.2,6.9,7.1,6.9,7.3,7.2,7.5,7.8,0,1,0,0,0,0,0,1,1,0,1,1,0,8.7
Windsor Hills,32822.0,10.0,8.1,7.8,8.0,8.5,7.8,7.8,10.0,8.5,0,1,1,0,0,0,0,1,1,0,1,1,0,19.3
La Quinta Inn Orlando Airport West,32812.0,1848.0,7.3,7.0,7.1,6.7,8.2,7.2,8.2,7.7,0,1,0,0,0,0,0,1,0,1,0,0,0,6.2
Crowne Plaza Hotel Orlando-Universal,32819.0,1221.0,8.1,8.2,8.2,8.0,8.2,7.5,8.2,8.5,1,0,0,0,1,0,0,1,0,0,1,1,0,7.5
Hilton Orlando Buena Vista Palace - Disney Springs Area,32830.0,1489.0,8.1,8.0,8.1,8.0,8.2,7.4,7.2,8.8,1,0,0,1,1,0,0,0,0,0,1,1,1,13.7
Avanti Palms Resort And Conference Center,32819.0,895.0,7.3,6.6,7.4,6.9,7.4,7.1,7.7,8.5,0,1,0,1,0,0,0,1,1,1,1,0,0,7.5
Melia Orlando Hotel,34747.0,891.0,8.1,8.0,8.2,8.0,8.2,7.7,8.3,8.4,0,1,0,1,0,0,0,1,1,1,1,0,0,16.8
Wyndham Orlando Resort International Drive,32819.0,2872.0,7.7,7.7,7.6,7.5,8.1,7.2,8.1,8.4,0,0,0,1,1,0,0,1,1,1,1,0,0,7.5
Eight Bedrooms with Private Pool and Spa (1756),34747.0,8.0,7.4,7.5,7.8,7.2,6.0,6.6,9.4,4.0,0,1,0,0,0,0,1,1,1,0,0,0,0,20.5
Ramada Plaza Resort & Suites by Wyndham Orlando Intl Drive,32819.0,4018.0,7.3,7.2,7.2,7.0,7.4,7.0,7.2,8.2,0,1,0,1,0,1,0,1,1,0,1,0,0,7.5
Ramada by Wyndham Suites Orlando Airport,32822.0,1134.0,7.7,7.5,7.6,7.2,8.1,7.5,8.5,8.4,0,1,1,1,0,0,0,1,0,0,0,0,0,6.8
Extended Stay America - Orlando - Convention Center - Universal Blvd,32819.0,661.0,7.6,7.1,7.4,7.2,8.1,7.5,6.8,8.5,0,1,0,1,0,0,0,1,0,1,0,1,0,8.1
Golf View Vacation Rentals,34747.0,201.0,7.4,7.4,7.7,7.3,6.9,7.3,8.0,7.5,0,1,0,0,0,0,1,1,0,1,0,1,0,18.6
Ramada by Wyndham Kissimmee Gateway,34747.0,2517.0,7.3,6.9,7.1,6.9,7.5,7.4,6.7,8.0,0,1,0,1,0,0,0,1,0,1,1,1,0,18.6
La Quinta Inn & Suites Orlando Universal Area,32819.0,1108.0,7.7,7.5,7.7,7.2,8.1,7.6,7.8,8.4,0,1,0,0,0,0,0,1,1,1,0,1,0,5.6
Simba's Lake House,34747.0,6.0,8.2,7.9,8.8,7.1,9.0,7.9,8.3,1.0,0,1,0,0,0,0,0,1,1,1,0,1,0,19.9
Days Inn by Wyndham Orlando Airport Florida Mall,32837.0,2688.0,7.4,7.2,7.2,7.0,7.7,7.6,8.3,7.4,0,1,0,0,0,0,0,1,0,1,0,1,0,7.5
Six Bedrooms with Private Pool and Spa (1746),34747.0,7.0,7.9,7.5,8.6,8.2,6.4,8.2,10.0,8.6,0,1,0,0,0,0,0,1,1,0,0,0,0,20.5
Red Roof Inn Orlando South - Florida Mall,32809.0,693.0,7.4,7.2,7.3,7.1,7.9,7.2,7.8,7.7,0,1,0,0,0,0,0,1,1,1,0,1,0,6.2
Best Western Airport Inn & Suites,32809.0,1991.0,7.8,7.9,7.7,7.5,8.0,7.8,8.3,7.9,0,0,0,1,1,0,0,1,1,0,0,0,0,5.6
Holiday Inn Orlando International Airport,32822.0,675.0,7.2,7.0,7.2,6.6,7.6,6.7,7.9,7.9,0,0,0,0,1,0,0,1,0,1,0,1,0,6.8
The Floridian Hotel and Suites,32819.0,948.0,7.3,6.8,7.0,6.7,7.5,7.3,6.2,8.4,0,1,0,1,0,0,0,1,0,0,0,1,0,7.5
Days Inn by Wyndham Orlando/International Drive,32819.0,3999.0,5.6,5.0,5.2,4.9,6.0,5.6,6.5,7.1,0,0,0,1,1,0,0,1,0,0,0,1,0,6.8
ACO - Windsor Hills with Private pool (1617),34747.0,40.0,7.5,7.3,7.8,7.3,7.4,6.9,9.1,8.3,0,1,0,0,0,0,1,1,0,0,0,0,0,19.3
Altamonte Hotel & Suites,32714.0,811.0,5.0,4.5,4.9,4.3,5.8,4.9,5.8,5.5,0,1,0,1,0,0,0,1,0,1,0,1,0,8.1
Quality Suites Orlando I-Drive Convention Center,32819.0,1094.0,7.7,7.7,7.9,7.4,7.4,7.7,7.5,8.4,0,1,0,1,0,0,0,1,1,0,0,1,0,7.5
Paradise Palms 4 Bedroom-3082,34747.0,12.0,8.8,8.8,9.0,9.3,7.9,9.0,8.8,7.0,0,1,0,0,0,0,0,1,1,0,0,0,0,18.0
Paradise Palms 4 Bedroom-3281,34747.0,7.0,8.7,8.9,8.6,8.9,8.9,8.6,8.2,4.0,0,1,1,0,0,0,0,1,1,0,0,0,0,18.0
Quality Inn & Suites,32819.0,2126.0,8.1,8.1,7.8,7.7,8.2,8.1,8.0,8.6,1,1,0,0,0,0,0,1,1,0,0,1,0,5.6
Sheraton Orlando Lake Buena Vista Resort,32836.0,1192.0,7.5,7.3,7.5,7.4,7.7,6.8,7.7,8.0,0,0,0,1,1,0,0,1,1,1,1,0,0,12.4
Windsor Hills Six Bedroom Holiday Home 26Dv29,34747.0,17.0,7.9,7.7,8.4,7.5,7.4,7.7,8.8,7.0,0,1,0,0,0,0,1,1,1,0,0,0,0,19.3
Paradise Palms 5 Bedroom-3613,34747.0,10.0,9.1,8.8,9.3,9.8,8.5,9.3,10.0,9.0,0,1,1,0,0,0,0,1,1,0,0,0,0,18.0
Sunny Oaks,34747.0,5.0,8.3,8.0,8.5,8.5,8.5,8.5,10.0,8.0,0,1,0,0,0,0,1,1,1,1,0,0,0,20.5
Four Points by Sheraton Orlando International Drive,32819.0,521.0,7.8,7.8,7.8,7.4,8.0,7.3,8.5,8.6,1,1,0,1,0,0,0,1,0,0,1,1,0,6.8
Park Inn by Radisson Resort & Conference Center- Orlando- Near Disney,34747.0,958.0,7.4,7.2,7.3,7.1,7.6,7.2,6.6,8.0,0,1,0,1,0,1,0,1,1,0,1,0,0,18.0
Marriott's Grande Vista,32821.0,1170.0,8.8,8.9,9.0,8.9,8.8,8.4,8.7,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,10.6
Best Western Plus Universal Inn,32819.0,1102.0,8.5,8.4,8.3,8.1,8.5,8.5,8.6,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,5.6
Coco Key Hotel & Water Park Resort,32819.0,2679.0,7.0,6.7,6.9,6.9,7.2,6.6,6.2,8.0,0,1,0,1,0,0,0,1,1,0,1,1,0,7.5
"Disney-World Area Orlando, U.S.A Favorite Holiday Rentals",34747.0,77.0,7.9,7.6,8.2,7.7,7.7,7.6,8.6,8.5,0,1,0,1,0,0,0,1,0,0,0,1,0,18.6
Drury Inn & Suites Orlando,32822.0,1664.0,9.1,9.1,9.1,9.0,9.2,9.0,9.0,9.2,0,1,0,1,0,0,0,1,1,1,0,0,0,8.1
Westgate Leisure Resort,32821.0,355.0,8.1,8.1,8.2,8.0,8.2,7.9,7.3,8.5,0,1,0,1,0,0,0,0,0,0,0,1,1,10.6
Windsors Hills 7749,34747.0,5.0,9.1,9.0,9.5,9.5,8.5,8.5,9.5,4.0,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3
Hampton Inn & Suites Orlando near SeaWorld,32821.0,1056.0,9.0,9.2,9.1,8.9,9.0,8.9,8.3,9.2,1,1,0,1,0,0,0,1,0,0,0,0,0,9.9
Westgate Vacation Villas Resort,34747.0,460.0,7.7,7.7,7.7,7.6,7.9,7.3,7.2,8.2,0,1,0,1,0,0,0,1,1,1,1,0,0,19.3
Three Bedroom Vacation Townhouse Oakwater Resort 28ow14,34747.0,5.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,4.0,0,1,1,0,0,0,0,1,1,0,0,1,0,18.6
Marriott's Sabal Palms,32821.0,26.0,8.5,8.6,8.6,8.7,8.5,8.1,9.6,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,14.3
Rosen Inn Closest to Universal,32819.0,1851.0,8.5,8.3,8.2,8.1,8.4,8.5,7.6,9.2,0,1,0,1,0,0,0,1,0,1,1,1,0,6.8
Windsor Wonderland Home,34747.0,12.0,9.2,9.2,9.4,9.4,8.8,9.2,9.4,8.8,0,1,0,0,0,0,1,1,0,0,0,0,0,19.3
Seaescape,32819.0,17.0,9.4,9.6,9.7,9.6,8.3,9.6,10.0,9.4,0,1,0,1,0,1,0,1,0,1,1,0,0,8.1
Shoreway Loop l 2004-Two Bedroom Apartment,32819.0,6.0,9.2,9.2,9.6,9.2,8.8,9.2,9.2,4.0,0,1,1,0,0,0,0,1,1,0,0,0,0,8.1
Residence Inn by Marriott Near Universal Orlando,32819.0,29.0,9.5,9.8,9.7,9.5,9.5,9.2,2.5,9.4,0,1,1,0,0,0,0,1,1,0,0,1,0,5.6
White Crane Home by Florida Dream Homes,34746.0,13.0,9.1,8.5,9.4,9.4,9.4,9.1,9.1,10.0,0,0,0,0,0,0,1,0,1,0,0,0,0,19.3
Six Bedrooms with Private Pool and Spa (1751),34747.0,10.0,8.0,8.9,8.3,8.0,7.0,7.2,5.0,8.3,0,1,0,0,0,0,0,1,1,0,0,0,0,20.5
Orlando International Resort Club,32819.0,287.0,9.0,9.1,9.1,8.9,9.0,8.9,7.7,9.1,0,1,1,0,0,0,0,1,0,0,0,1,0,6.2
Windsor Magic,34741.0,5.0,8.9,9.0,9.5,9.0,8.0,8.5,9.5,2.0,0,1,1,0,0,0,0,1,0,0,0,0,0,19.3
Contessa Dr,32829.0,12.0,9.8,9.6,9.8,9.8,9.8,10.0,10.0,9.6,0,1,0,0,0,0,1,1,0,0,0,1,0,8.1
Regal Oaks Three Bedroom Villa,34746.0,6.0,9.3,10.0,8.3,8.8,9.6,9.2,10.0,4.0,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2
Hampton Inn & Suites Orlando Airport at Gateway Village,32812.0,478.0,8.9,9.1,9.0,8.9,9.1,8.3,8.6,9.1,0,1,0,1,0,0,0,1,0,0,0,1,0,6.8
101 Dalmatian's Den,34747.0,5.0,9.4,9.5,9.5,9.5,9.5,9.0,9.5,4.0,0,1,0,0,0,0,0,1,1,1,0,1,0,19.9
SeaWorld - Disney Apartments by NUOVO,32821.0,23.0,8.6,9.0,8.1,8.6,8.2,8.3,8.8,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,9.9
DoubleTree by Hilton Orlando East - UCF Area,32817.0,355.0,8.9,9.1,9.0,8.9,9.2,8.4,8.9,8.9,0,1,0,1,0,0,0,1,0,0,0,1,0,11.2
The Windsor Wonderland 6 BR Villa,34747.0,7.0,7.9,7.9,7.9,7.9,7.5,7.9,8.2,4.0,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3
Windsor Hills Townhomes by IPG,34747.0,10.0,7.8,7.3,7.3,7.0,8.3,7.5,10.0,9.3,0,1,0,0,0,0,1,1,1,0,0,1,0,19.3
FunQuest Condos at Windsor Hills Kissimmee,34747.0,36.0,7.3,7.2,7.6,7.2,6.3,7.5,9.7,8.2,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3
The Windsor Hills Resort-7664,34747.0,6.0,8.8,8.8,8.8,9.2,8.8,8.3,10.0,9.2,0,1,1,1,0,0,0,1,1,0,0,0,0,19.3
Nemo's Nook,34741.0,9.0,8.9,8.9,9.2,9.2,7.8,8.6,7.5,9.7,0,1,1,0,0,0,0,1,0,0,0,0,0,19.3
Luxury Villas in Encore Waterpark,34747.0,25.0,9.1,9.1,9.2,9.3,9.0,8.7,10.0,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,20.5
Rosen Centre Hotel Orlando Convention Center,32819.0,305.0,8.7,9.0,8.7,8.8,8.7,8.0,7.9,9.2,0,0,0,1,1,0,0,1,0,1,1,1,0,8.7
Festiva Orlando Resort,34747.0,520.0,8.6,8.3,8.4,8.4,8.8,8.9,8.9,8.7,0,1,0,1,0,0,0,1,1,1,0,0,0,19.9
Hampton Inn & Suites Orlando International Drive North,32819.0,478.0,8.8,8.9,8.8,8.6,9.0,8.5,7.9,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,7.5
Hampton Inn Lake Buena Vista / Orlando,32836.0,586.0,9.0,9.1,8.9,8.8,9.3,8.9,8.9,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,11.8
2/3 Bed Condos Close to Disney,32821.0,5.0,9.8,10.0,10.0,10.0,10.0,9.0,10.0,5.0,0,1,0,1,0,0,0,1,1,0,0,1,0,9.9
La Quinta Inn & Suites Orlando UCF,32826.0,67.0,9.3,9.5,9.3,9.2,9.6,9.1,9.6,9.4,0,1,0,1,0,0,0,1,1,1,0,0,0,11.2
Tropical Palms Premium Three-Bedroom Cottage 40,34746.0,7.0,7.9,8.2,7.5,7.9,8.2,7.2,10.0,8.2,0,1,1,0,0,0,0,1,1,0,0,0,0,16.2
Three Bedroom Condo First Floor Gated Community,34747.0,6.0,9.9,10.0,10.0,10.0,9.6,10.0,10.0,6.0,0,1,1,1,0,0,0,1,0,0,0,1,0,18.6
Homewood Suites by Hilton Orlando North Maitland,32751.0,96.0,8.9,9.0,9.2,9.0,9.1,8.6,8.8,8.3,0,1,0,1,0,0,0,1,1,0,0,1,0,6.2
SuiteLivingPlus,32821.0,56.0,9.0,9.5,9.4,9.1,8.3,8.5,8.8,9.0,0,1,0,0,0,1,0,1,1,0,0,1,0,8.1
Windsor Magic,34747.0,11.0,9.1,9.3,8.9,9.1,9.1,8.9,9.1,8.0,0,1,0,0,0,0,1,1,1,0,0,0,0,19.3
La Quinta Inn & Suites Orlando Airport North,32812.0,984.0,8.6,8.7,8.6,8.4,8.6,8.4,8.9,8.9,0,1,0,0,0,0,0,1,0,1,0,1,0,6.2
SpringHill Suites by Marriott Orlando Convention Center,32819.0,257.0,8.7,8.5,8.7,8.5,9.0,8.4,8.5,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,8.1
Homewood Suites by Hilton Orlando Airport,32812.0,171.0,9.0,9.1,9.1,8.9,9.0,8.7,8.5,9.0,0,0,0,1,1,0,0,1,0,1,0,0,0,6.8
Delta Hotels by Marriott Orlando Lake Buena Vista,32836.0,216.0,8.7,8.9,8.9,8.6,8.8,8.2,8.6,8.8,0,0,1,0,1,0,0,1,1,0,1,1,0,12.4
Disney&Golf Holiday Home,34747.0,5.0,9.6,10.0,10.0,10.0,9.5,9.0,9.0,4.0,0,1,1,0,0,0,0,1,1,0,1,1,0,21.1
Paradise Palms 4 Bedroom-3032,34747.0,6.0,9.5,10.0,9.2,9.6,9.2,9.6,9.2,5.0,0,1,0,0,0,0,0,1,1,0,0,0,0,18.0
Regal Oaks Stay Orlando,34746.0,11.0,9.4,9.8,9.6,8.9,9.1,9.6,7.5,9.6,0,1,1,0,0,0,0,1,1,0,1,1,0,16.2
Embassy Suites Orlando - North,32701.0,246.0,8.5,8.5,8.5,8.4,8.6,8.2,8.1,8.7,0,1,0,1,0,0,0,1,0,0,1,1,0,8.7
Las Palmeras by Hilton Grand Vacations,32819.0,176.0,8.9,9.2,9.1,8.9,9.0,8.3,9.0,8.7,0,0,1,1,1,0,0,0,0,0,1,1,1,8.1
Fairfield Inn & Suites by Marriott Orlando East/UCF Area,32817.0,136.0,9.0,9.3,9.2,9.0,9.0,8.5,8.5,8.8,0,1,1,0,0,0,0,1,1,0,0,1,0,10.6
Paradise Palms 6 Bedroom-3150,34747.0,5.0,8.8,8.5,9.0,8.0,8.5,9.0,9.5,3.0,0,1,1,0,0,0,0,1,1,0,0,0,0,18.0
Courtyard Orlando International Drive/Convention Center,32819.0,110.0,8.7,9.1,8.7,8.5,8.9,8.2,8.6,9.0,0,1,1,0,0,0,0,1,0,0,0,1,0,8.1
The Courtyard at Lake Lucerne,32801.0,49.0,8.8,8.9,8.8,8.7,8.9,8.5,8.1,9.0,0,1,0,0,0,0,1,1,0,0,0,1,0,2600.0
Rosen Inn at Pointe Orlando,32819.0,1713.0,8.3,8.2,8.0,8.1,8.2,8.3,8.3,9.0,0,1,0,1,0,0,0,1,1,1,1,0,0,8.7
Sun Lake Resort-3126,34747.0,6.0,9.1,9.6,9.2,8.3,7.9,10.0,9.6,5.0,0,1,1,1,0,0,0,1,0,0,0,0,0,18.6
Magic Tree Resort,34747.0,55.0,9.0,8.9,9.2,8.9,9.0,8.8,9.6,9.2,0,1,1,1,0,0,0,1,0,0,0,1,0,18.6
Pool Paradise,34747.0,13.0,9.2,8.9,9.6,9.1,9.1,9.4,7.5,9.4,0,1,0,0,0,0,1,1,1,1,0,0,0,20.5
Hampton Inn & Suites Orlando-John Young Parkway/South Park,32819.0,334.0,9.2,9.4,9.3,9.2,9.3,9.0,8.8,8.8,1,1,0,0,0,0,0,1,1,0,0,1,0,6.8
Hampton Inn Closest to Universal Orlando,32819.0,277.0,8.8,8.9,8.8,8.5,9.2,8.6,8.6,8.9,0,1,1,0,0,0,0,1,1,0,0,1,0,5.6
Celebration Suites 2 Bedroom Condo,34746.0,11.0,9.1,9.1,9.1,8.6,8.9,8.8,9.8,7.0,0,1,0,1,0,0,0,1,0,1,0,1,0,16.2
Tropical Palms Standard Two-Bedroom Cottage 16,34746.0,7.0,8.7,9.3,7.9,8.6,8.2,8.9,9.3,4.0,0,1,1,0,0,0,0,1,1,0,0,0,0,16.2
