name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist
Hyatt House across from Universal Orlando Resort,32819.0,26.0,9.2,9.1,9.1,9.1,9.3,9.1,9.3,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,5.6
Water Oak IR700,34747.0,9.0,9.0,8.3,9.7,8.6,9.5,8.9,9.2,6.0,0,1,0,0,0,0,0,1,1,0,0,1,0,20.5
Casiola Vacation Homes,32819.0,524.0,8.9,8.9,9.1,8.9,8.4,8.8,9.3,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1
Embassy Suites by Hilton Orlando International Drive Convention Center,32819.0,773.0,8.7,8.7,8.7,8.6,8.8,8.2,7.4,9.1,0,0,0,1,1,0,0,0,1,0,1,1,1,8.1
TownePlace Suites by Marriott Orlando at SeaWorld,32821.0,191.0,9.3,9.4,9.2,9.2,9.4,9.2,8.3,9.3,0,1,0,1,0,0,0,1,1,1,0,0,0,9.3
Residence Inn by Marriott Orlando at Millenia,32839.0,36.0,9.5,9.7,9.9,9.4,9.5,9.0,8.5,9.6,0,1,0,0,0,0,0,1,1,1,0,1,0,4.3
Hilton Grand Vacations at Tuscany Village,32821.0,982.0,8.9,8.9,9.2,8.9,8.9,8.5,8.1,9.3,1,1,0,1,0,0,0,0,0,0,1,1,1,11.8
Four Seasons Resort Orlando at Walt Disney World Resort,32836.0,271.0,9.3,9.6,9.6,9.6,9.4,8.1,9.4,9.3,0,0,0,1,1,0,0,1,1,1,1,0,0,13.0
Hampton Inn Orlando Near Universal Blv/International Dr,32819.0,877.0,8.6,8.6,8.5,8.3,8.9,8.3,8.4,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,6.8
Homewood Suites by Hilton Orlando-Intl Drive/Convention Ctr,32819.0,585.0,8.7,8.7,8.7,8.6,8.7,8.4,7.6,9.2,0,0,0,1,1,0,0,0,1,0,0,1,1,8.1
Comfort Suites UCF/Research Park,32826.0,365.0,8.6,8.7,8.5,8.5,9.0,8.2,8.8,8.8,0,1,1,0,0,0,0,1,1,0,0,1,0,10.6
Hyatt Place Orlando Lake Buena Vista,32836.0,467.0,8.9,9.0,9.0,8.7,8.7,8.5,9.0,9.1,0,1,0,0,0,0,0,1,0,1,1,1,0,12.4
Hyatt Regency Orlando,32819.0,1821.0,8.9,9.0,9.1,9.1,8.9,8.1,8.7,9.1,0,0,0,1,1,1,0,1,0,1,1,0,0,8.7
Eight Bedrooms with Private Pool and Spa (1747),34747.0,7.0,8.9,9.3,9.3,8.9,7.5,8.6,9.7,4.0,0,1,0,0,0,0,0,1,1,0,0,0,0,20.5
Galleria Palms Orlando,34747.0,1074.0,8.6,8.6,8.4,8.3,8.7,8.6,9.0,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6
Kissimmee Area Pool Home,34747.0,12.0,9.1,9.0,9.2,9.4,8.8,9.2,9.0,8.0,0,1,0,0,0,0,1,1,1,0,0,1,0,18.0
Summerville Resort Five Bedroom Townhome SV102,34747.0,7.0,9.4,9.3,8.9,9.7,9.3,9.7,9.7,6.0,0,1,0,1,0,0,0,1,0,1,0,1,0,18.6
Courtyard by Marriott Orlando Lake Buena Vista in the Marriott Village,32821.0,1941.0,8.6,8.7,8.6,8.5,8.6,8.4,8.3,8.9,0,0,0,1,1,1,0,1,1,0,1,0,0,13.0
The Point Hotel & Suites Universal Blvd,32819.0,799.0,8.8,8.6,9.0,8.7,8.9,8.5,8.7,9.0,1,1,0,1,0,0,0,1,0,0,1,1,0,6.8
SpringHill Suites by Marriott Orlando at SeaWorld,32821.0,1140.0,9.1,9.1,9.1,8.9,9.2,8.9,9.3,8.8,1,0,0,1,1,0,0,0,0,0,1,1,0,9.3
Holiday Inn Orlando – Disney Springs™ Area,32830.0,1369.0,8.6,8.6,8.5,8.4,8.8,8.1,8.6,9.0,1,0,0,0,1,0,0,1,1,0,1,1,0,13.0
Spacious Vacation Home Rental House 77Tb12,34747.0,6.0,8.3,7.1,8.8,8.8,8.8,7.9,8.8,5.0,0,1,0,0,0,0,1,1,0,0,0,0,0,19.3
Residence Inn Orlando Lake Buena Vista,32836.0,250.0,8.7,8.6,8.8,8.6,8.7,8.6,8.7,8.9,0,0,0,1,1,0,0,1,0,1,1,1,0,11.8
Hilton Grand Vacations at SeaWorld,32821.0,1524.0,8.8,8.8,9.0,8.9,8.7,8.5,8.2,9.1,0,1,0,1,0,0,0,0,0,0,1,1,1,9.9
"The Ritz-Carlton Orlando, Grande Lakes",32837.0,344.0,8.8,9.0,9.0,8.9,9.1,8.0,8.4,8.7,0,0,0,1,1,0,0,0,0,1,1,1,1,9.3
Formosa Garden Pool Home,34747.0,24.0,9.2,8.9,9.6,8.9,9.1,9.3,9.3,8.8,0,1,0,0,0,0,1,1,1,0,0,0,0,19.9
Renaissance Orlando at SeaWorld®,32821.0,1699.0,8.9,9.1,9.1,9.0,8.9,8.3,6.9,9.1,0,0,0,1,1,1,0,0,1,0,1,0,1,9.9
